,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By
1307,1307,Karnam Malleswari,"Andhra Pradesh, India",Sports,K. R. Narayanan,,,,,,
1308,1308,Karsanbhai Patel,"Gujarat, India",Trade and Industry,Pratibha Patil,,,,,,
1309,1309,Kartar Singh Duggal,,,,Delhi/India,Literature and Education,R. Venkataraman,,,
1310,1310,Kartikeya V. Sarabhai,"Gujarat, India",Others,Pratibha Patil,,,,,,
1311,1311,Karuna Mary Braganza,"Maharashtra, India",Social Work,Pratibha Patil,,,,,,
1312,1312,Kashi Prasad Pandey,"Madhya Pradesh, India",Public Affairs,Sarvepalli Radhakrishnan,,,,,,
1313,1313,Kashmir Singh Katoch,,,,"Punjab, India",Civil Service,Sarvepalli Radhakrishnan,,,
1314,1314,Kashmiri Lal Zakir,Chandigarh/India,Literature and Education,A. P. J. Abdul Kalam,,,,,,
1315,1315,Kasturbhai Lalbhai,,,,"Gujarat, India",Trade and Industry,Zakir Husain (politician),,,
1316,1316,Kasturi Lal Chopra,Delhi/India,Science and Engineering,Pratibha Patil,,,,,,
1317,1317,Kasturiswami Sreenivasan,,,,"Tamil Nadu, India",Trade and Industry,Zakir Husain (politician),,,
1318,1318,Kattingeri Krishna Hebbar,Maharashtra,Arts,Rajendra Prasad,Maharashtra,Arts,R. Venkataraman,,,
1319,1319,Kattungal Subramaniam Manilal,"Kerala, India",Science and Engineering,Ram Nath Kovind,,,,,,
1320,1320,Katuru Narayana,"Andhra Pradesh, India",Science and Engineering,K. R. Narayanan,,,,,,
1321,1321,Kaur Singh,"Punjab, India",Sports,Zail Singh,,,,,,
1322,1322,Kaushik Basu,,,,,Literature and Education,Pratibha Patil,,,
1323,1323,Kavalam Narayana Panicker,,,,"Kerala, India",Arts,A. P. J. Abdul Kalam,,,
1324,1324,Kavungal Chathunni Panicker,"Kerala, India",Arts,A. P. J. Abdul Kalam,,,,,,
1325,1325,Kazi Lhendup Dorjee,,,,,,,"West Bengal, India",Public Affairs,A. P. J. Abdul Kalam
1326,1326,Kazi Masum Akhtar,"West Bengal, India",Literature and Education,Ram Nath Kovind,,,,,,
1327,1327,Kazi Nazrul Islam,,,,"West Bengal, India",Literature and Education,Rajendra Prasad,,,
1328,1328,Kedar Gurung,"Sikkim, India",Literature and Education,Pratibha Patil,,,,,,
1329,1329,Kedar Nath Sahoo,"Jharkhand, India",Arts,A. P. J. Abdul Kalam,,,,,,
1330,1330,Keepu Tsering Lepcha,"Sikkim, India",Social Work,Pratibha Patil,,,,,,
1331,1331,Keezhpadam Kumaran Nair,"Kerala, India",Arts,A. P. J. Abdul Kalam,,,,,,
1332,1332,Keiki R. Mehta,"Maharashtra, India",Medicine,Pratibha Patil,,,,,,
1333,1333,Keki Byramjee Grant[i]#,,,,"Maharashtra, India",Medicine,Pratibha Patil,,,
1334,1334,Keki Hormusji Gharda,"Maharashtra, India",Trade and Industry,Pranab Mukherjee,,,,,,
1335,1335,Keki N. Daruwalla,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
1336,1336,Kekoo Gandhy,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
1337,1337,Kelucharan Mohapatra,Odisha,Arts,V. V. Giri,Odisha,Arts,R. Venkataraman,Odisha,Arts,K. R. Narayanan
1338,1338,Kershasp Tehmurasp Satarawala,,,,"Goa, India",Civil Service,Zail Singh,,,
1339,1339,Kesarbai Kerkar,,,,"Maharashtra, India",Arts,Zakir Husain (politician),,,
1340,1340,Keshav Malik,Delhi/India,Literature and Education,R. Venkataraman,,,,,,
1341,1341,Keshav Prasad Goenka,,,,"West Bengal, India",Trade and Industry,Zakir Husain (politician),,,
1342,1342,Keshavram Kashiram Shastri,"Gujarat, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,
1343,1343,Keshavrao Krishnarao Datey,,,,"Maharashtra, India",Medicine,Zakir Husain (politician),,,
1344,1344,Keshubhai Patel,,,,"Gujarat, India",Public Affairs,Ram Nath Kovind,,,
1345,1345,Ketayun Ardeshir Dinshaw,"Maharashtra, India",Science and Engineering,K. R. Narayanan,,,,,,
1346,1346,Kewal Singh Choudhary,"Punjab, India",Civil Service,Rajendra Prasad,,,,,,
1347,1347,Khadg Singh Valdiya,,,,"Karnataka, India",Science and Engineering,Pranab Mukherjee,,,
1348,1348,Khadim Hussain Khan,,,,"Maharashtra, India",Arts,Neelam Sanjiva Reddy,,,
1349,1349,Khailshanker Durlabhji,"Rajasthan, India",Trade and Industry,V. V. Giri,,,,,,
1350,1350,Khaled Choudhury,,,,"West Bengal, India",Arts,Pratibha Patil,,,
1351,1351,Khalid A. H. Ansari,"Maharashtra, India",Literature and Education,K. R. Narayanan,,,,,,
1352,1352,"Khalid Hameed, Baron Hameed",Germany(Country),Medicine,R. Venkataraman,Uttar Pradesh,Medicine,Pratibha Patil,,,
1353,1353,Khangembam Mangi Singh,"Manipur, India",Arts,Pratibha Patil,,,,,,
1354,1354,Khem Karan Singh,,,,"Punjab, India",Civil Service,V. V. Giri,,,
1355,1355,Khem Singh Gill,,,,"Punjab, India",Science and Engineering,R. Venkataraman,,,
1356,1356,Khushdeva Singh,"Punjab, India",Medicine,Rajendra Prasad,,,,,,
1357,1357,Khushwant Lal Wig,,,,"Punjab, India",Medicine,Sarvepalli Radhakrishnan,,,
1358,1358,Khushwant Singh,,,,Punjab,Literature and Education,V. V. Giri,Delhi,Literature and Education,A. P. J. Abdul Kalam
1359,1359,Khusro Faramurz Rustamji,,,,Madhya Pradesh,Civil Service,V. V. Giri,Maharashtra,Civil Service,R. Venkataraman
1360,1360,Khwaja Ahmad Abbas,"Maharashtra, India",Arts,Zakir Husain (politician),,,,,,
1361,1361,Khwaja Ghulam Saiyidain,,,,"Uttar Pradesh, India",Literature and Education,Sarvepalli Radhakrishnan,,,
1362,1362,Kim Yang-shik,Bangladesh,Literature and Education,K. R. Narayanan,,,,,,
1363,1363,Kiran Karnik,Delhi/India,Science and Engineering,A. P. J. Abdul Kalam,,,,,,
1364,1364,Kiran Martin,Delhi/India,Social Work,K. R. Narayanan,,,,,,
1365,1365,Kiran Mazumdar-Shaw,"Karnataka, India",Trade and Industry,R. Venkataraman,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,,,
1366,1366,Kiran Segal,Delhi/India,Arts,K. R. Narayanan,,,,,,
1367,1367,Kiran Seth,Delhi/India,Arts,Pratibha Patil,,,,,,
1368,1368,Kirit Parikh,,,,Delhi/India,Public Affairs,Pratibha Patil,,,
1369,1369,Kiritkumar Mansukhlal Acharya,"Gujarat, India",Medicine,Pranab Mukherjee,,,,,,
1370,1370,Kirpal Singh,,,,,,,Delhi/India,Civil Service,Zakir Husain (politician)
1371,1371,Kirpal Singh Chugh,Chandigarh/India,Medicine,K. R. Narayanan,,,,,,
1372,1372,Kirpal Singh Narang,,,,"Punjab, India",Literature and Education,Fakhruddin Ali Ahmed,,,
1373,1373,Kishan Lal,"Uttar Pradesh, India",Sports,Sarvepalli Radhakrishnan,,,,,,
1374,1374,Kishan Maharaj,Uttar Pradesh,Arts,V. V. Giri,,,,Uttar Pradesh,Arts,K. R. Narayanan
1375,1375,Kishori Amonkar,,,,Maharashtra,Arts,Zail Singh,Maharashtra,Arts,K. R. Narayanan
1376,1376,Kodaganur S. Gopinath,"Karnataka, India",Medicine,Pratibha Patil,,,,,,
1377,1377,Kodandera Subayya Thimayya,,,,"Karnataka, India",Civil Service,Rajendra Prasad,,,
1378,1378,Kolakaluri Enoch,"Andhra Pradesh, India",Literature and Education,Pranab Mukherjee,,,,,,
1379,1379,Komal Kothari,Rajasthan,Literature and Education,Zail Singh,Rajasthan,Arts,A. P. J. Abdul Kalam,,,
1380,1380,Komala Varadan,Delhi/India,Arts,A. P. J. Abdul Kalam,,,,,,
1381,1381,Koneru Ramakrishna Rao,"Andhra Pradesh, India",Literature and Education,Pratibha Patil,,,,,,
1382,1382,Kota Harinarayana,"Karnataka, India",Science and Engineering,K. R. Narayanan,,,,,,
1383,1383,Kota Srinivasa Rao,"Andhra Pradesh, India",Arts,Pranab Mukherjee,,,,,,
1384,1384,Kothamangalam Subbu,"Tamil Nadu, India",Literature and Education,V. V. Giri,,,,,,
1385,1385,Kotti Narasimha Udupa,"Uttar Pradesh, India",Medicine,V. V. Giri,,,,,,
1386,1386,Kranti Shah,"Maharashtra, India",Social Work,Pratibha Patil,,,,,,
1387,1387,Kripal Singh Shekhawat,"Rajasthan, India",Arts,V. V. Giri,,,,,,
1388,1388,Kris Gopalakrishnan,,,,"Karnataka, India",Trade and Industry,Pratibha Patil,,,
1389,1389,Krishan Dev Dewan,"Bihar, India",Social Work,Zail Singh,,,,,,
1390,1390,Krishen Khanna,Delhi,Arts,R. Venkataraman,Haryana,Arts,Pratibha Patil,,,
1391,1391,Krishn Kanhai,"Uttar Pradesh, India",Arts,A. P. J. Abdul Kalam,,,,,,
1392,1392,Krishna Chaithanya,Delhi/India,Literature and Education,R. Venkataraman,,,,,,
1393,1393,Krishna Chandra Chunekar,"Uttar Pradesh, India",Medicine,Pranab Mukherjee,,,,,,
1394,1394,Krishna Chandra Panigrahi,"Odisha, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,
1395,1395,Krishna Gopal Saxena,Delhi/India,Medicine,Zakir Husain (politician),,,,,,
1396,1396,Krishna Kanta Handique,Assam,Literature and Education,Rajendra Prasad,Assam,Literature and Education,Sarvepalli Radhakrishnan,,,
1397,1397,Krishna Kumar,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
1398,1398,Krishna Lal Chadha,Delhi/India,Science and Engineering,Pratibha Patil,,,,,,
1399,1399,Krishna Poonia,"Rajasthan, India",Sports,Pratibha Patil,,,,,,
1400,1400,Krishna Prasad Dar,"Uttar Pradesh, India",Civil Service,Fakhruddin Ali Ahmed,,,,,,
1401,1401,Krishna Ramchand Kriplani,,,,Delhi/India,Literature and Education,Zakir Husain (politician),,,
1402,1402,Krishna Reddy,United States,Arts,V. V. Giri,,,,,,
1403,1403,Krishna Srinivas,,,,"Tamil Nadu, India",Literature and Education,A. P. J. Abdul Kalam,,,
1404,1404,Krishnammal Jagannathan,Tamil Nadu,Social Work,R. Venkataraman,Tamil Nadu,Social Work,Ram Nath Kovind,,,
1405,1405,Krishnamurthy Santhanam,,,,Delhi/India,Science and Engineering,K. R. Narayanan,,,
1406,1406,Krishnarao Phulambrikar,,,,"Maharashtra, India",Arts,V. V. Giri,,,
1407,1407,Krishnarao Shankar Pandit,,,,"Madhya Pradesh, India",Arts,V. V. Giri,,,
1408,1408,Krishnaswami Ramiah,Andhra Pradesh,Science and Engineering,Rajendra Prasad,Tamil Nadu,Science and Engineering,V. V. Giri,,,
1409,1409,Krishnaswami Srinivas Sanjivi,Tamil Nadu,Medicine,V. V. Giri,Tamil Nadu,Medicine,Fakhruddin Ali Ahmed,,,
1410,1410,Krishnaswamy Kasturirangan,Karnataka,Science and Engineering,Neelam Sanjiva Reddy,Karnataka,Science and Engineering,R. Venkataraman,Karnataka,Science and Engineering,K. R. Narayanan
1411,1411,Kshama Metre,"Himachal Pradesh, India",Social Work,Pratibha Patil,,,,,,
1412,1412,Kshetrimayum Ongbi Thouranisabi Devi,"Manipur, India",Arts,A. P. J. Abdul Kalam,,,,,,
1413,1413,Kudrat Singh,"Rajasthan, India",Arts,R. Venkataraman,,,,,,
1414,1414,Kuldip Nayar,,,,Delhi/India,Literature and Education,Ram Nath Kovind,,,
1415,1415,Kumar Gandharva,,,,Madhya Pradesh,Arts,Fakhruddin Ali Ahmed,Madhya Pradesh,Arts,R. Venkataraman
1416,1416,Kumar Ketkar,"Maharashtra, India",Literature and Education,K. R. Narayanan,,,,,,
1417,1417,Kumar Sanu,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
1418,1418,Kumari Kamala,,,,"Tamil Nadu, India",Arts,V. V. Giri,,,
1419,1419,Kumarpal Desai,"Gujarat, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
1420,1420,Kumkum Mohanty,"Odisha, India",Arts,A. P. J. Abdul Kalam,,,,,,
1421,1421,Kumud Ranjan Mullick,"West Bengal, India",Literature and Education,V. V. Giri,,,,,,
1422,1422,Kumudini Lakhia,Gujarat,Arts,Zail Singh,Gujarat,Arts,Pratibha Patil,,,
1423,1423,Kunhiraman Palat Candeth,,,,Delhi/India,Civil Service,V. V. Giri,,,
1424,1424,Kunja Bihari Meher,"Odisha, India",Arts,K. R. Narayanan,,,,,,
1425,1425,Kunjarani Devi,"Manipur, India",Sports,Pratibha Patil,,,,,,
1426,1426,Kunji Lal Dubey,,,,"Madhya Pradesh, India",Public Affairs,Sarvepalli Radhakrishnan,,,
1427,1427,Kunnakudi Vaidyanathan,"Tamil Nadu, India",Arts,A. P. J. Abdul Kalam,,,,,,
1428,1428,Kunnenkeril K. Jacob,"Maharashtra, India",Literature and Education,V. V. Giri,,,,,,
1429,1429,Kunwar Digvijai Singh,"Uttar Pradesh, India",Sports,Rajendra Prasad,,,,,,
1430,1430,Kunwar Narayan,,,,Delhi/India,Literature and Education,Pratibha Patil,,,
1431,1431,Kunwar Singh Negi,Uttarakhand,Social Work,Neelam Sanjiva Reddy,Uttarakhand,Literature and Education,R. Venkataraman,,,
1432,1432,Kuppali Venkatappagowda Puttappa,,,,"Karnataka, India",Literature and Education,Rajendra Prasad,"Karnataka, India",Literature and Education,R. Venkataraman
1433,1433,Kurian John Melamparambil,"Kerala, India",Social Work,Pratibha Patil,,,,,,
1434,1434,Kushal Konwar Sarma,"Assam, India",Medicine,Ram Nath Kovind,,,,,,
1435,1435,Kushal Pal Singh,,,,Delhi/India,Trade and Industry,Pratibha Patil,,,
1436,1436,Kushok Bakula,,,,Delhi/India,Public Affairs,R. Venkataraman,,,
1437,1437,Kuthur Ramakrishnan Srinivasan,,,,"Tamil Nadu, India",Literature and Education,R. Venkataraman,,,
1438,1438,Kutikuppala Surya Rao,"Andhra Pradesh, India",Social Work,Pratibha Patil,,,,,,
1439,1439,Kuzhivelil Mathew,"Kerala, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,
1440,1440,Kuzhur Narayana Marar,,,,"Kerala, India",Arts,Pratibha Patil,,,
1441,1441,L. A. Krishna Iyer,,,,"Kerala, India",Science and Engineering,V. V. Giri,,,
1442,1442,L. K. Advani,,,,,,,"Gujarat, India",Public Affairs,Pranab Mukherjee
1443,1443,L. K. Doraiswamy,,,,"Karnataka, India",Science and Engineering,R. Venkataraman,,,
1444,1444,L. S. N. Prasad,"Bihar, India",Medicine,V. V. Giri,,,,,,
1445,1445,L. Subramaniam,Tamil Nadu,Arts,R. Venkataraman,Karnataka,Arts,K. R. Narayanan,,,
1446,1446,L. Venkatakrishna Iyer,,,,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,
1447,1447,L. Z. Sailo,,,,"Mizoram, India",Literature and Education,A. P. J. Abdul Kalam,,,
1448,1448,Laila Tyabji,Delhi/India,Arts,Pratibha Patil,,,,,,
1449,1449,Laishram Nabakishore Singh,"Manipur, India",Medicine,K. R. Narayanan,,,,,,
1450,1450,Lakhimi Baruah,"Assam, India",Social Work,Ram Nath Kovind,,,,,,
1451,1451,Lakhumal Hiranand Hiranandani,,,,"Maharashtra, India",Medicine,V. V. Giri,,,
1452,1452,Lakshman Shastri Joshi,,,,,,,"Maharashtra, India",Literature and Education,R. Venkataraman
1453,1453,Lakshman Singh,,,,"Maharashtra, India",Public Affairs,R. Venkataraman,,,
1454,1454,Lakshman Singh Jangpangi,"Odisha, India",Social Work,Rajendra Prasad,,,,,,
1455,1455,Lakshmi Kumari Chundawat,"Rajasthan, India",Literature and Education,Zail Singh,,,,,,
1456,1456,Lakshmi Mazumdar,Delhi/India,Social Work,Sarvepalli Radhakrishnan,,,,,,
1457,1457,Lakshmi Menon,,,,"Kerala, India",Public Affairs,Rajendra Prasad,,,
1458,1458,Lakshmi Mittal,,,,,,,,Trade and Industry,Pratibha Patil
1459,1459,Lakshmi Nandan Bora,"Assam, India",Literature and Education,Pranab Mukherjee,,,,,,
1460,1460,Lakshmi Sahgal,,,,,,,"Uttar Pradesh, India",Public Affairs,K. R. Narayanan
1461,1461,Lakshmikutty,"Kerala, India",Medicine,Ram Nath Kovind,,,,,,
1462,1462,Lala Amarnath,,,,Delhi/India,Sports,R. Venkataraman,,,
1463,1463,Lala Hansraj Gupta,,,,"Haryana, India",Public Affairs,V. V. Giri,,,
1464,1464,Lalchand Hirachand,"Maharashtra, India",Trade and Industry,R. Venkataraman,,,,,,
1465,1465,Lalgudi Jayaraman,Tamil Nadu,Arts,V. V. Giri,Tamil Nadu,Arts,K. R. Narayanan,,,
1466,1466,Lalit Kumar,Delhi/India,Medicine,Pranab Mukherjee,,,,,,
1467,1467,Lalit Mohan Banerjee,,,,"West Bengal, India",Medicine,Rajendra Prasad,,,
1468,1468,Lalit Pande,"Uttarakhand, India",Others,A. P. J. Abdul Kalam,,,,,,
1469,1469,Lalji Singh,"Andhra Pradesh, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
1470,1470,Lallan Prasad Singh,,,,,,,Delhi/India,Civil Service,K. R. Narayanan
1471,1471,Lalsangzuali Sailo,"Mizoram, India",Literature and Education,K. R. Narayanan,,,,,,
1472,1472,Lalsawma,"Mizoram, India",Social Work,A. P. J. Abdul Kalam,,,,,,
1473,1473,Lalthangfala Sailo,"Mizoram, India",Literature and Education,Pratibha Patil,,,,,,
1474,1474,Laltluangliana Khiangte,"Mizoram, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
1475,1475,Lalzuia Colney,"Mizoram, India",Literature and Education,Pratibha Patil,,,,,,
1476,1476,Lambert Mascarenhas,"Goa, India",Literature and Education,Pranab Mukherjee,,,,,,
1477,1477,Lata Mangeshkar,,,,Maharashtra,Arts,Zakir Husain (politician),Maharashtra,Arts,K. R. Narayanan
1478,1478,Laurie Baker,"Kerala, India",Science and Engineering,R. Venkataraman,,,,,,
1479,1479,Lavu Narendranath,"Andhra Pradesh, India",Medicine,A. P. J. Abdul Kalam,,,,,,
1480,1480,Laxma Goud,"Telangana, India",Arts,Pranab Mukherjee,,,,,,
1481,1481,Laxman Mahadeo Chitale,"Maharashtra, India",Science and Engineering,Rajendra Prasad,,,,,,
1482,1482,Laxman Mane,"Maharashtra, India",Literature and Education,Pratibha Patil,,,,,,
1483,1483,Laxman Pai,Goa,Arts,Zail Singh,Goa,Arts,Ram Nath Kovind,,,
1484,1484,Laxmi Chand Gupta,Delhi/India,Medicine,Pratibha Patil,,,,,,
1485,1485,Laxmi Mall Singhvi,,,,Delhi/India,Public Affairs,K. R. Narayanan,,,
1486,1486,Laxmi Prasad Sihare,,,,Delhi/India,Civil Service,Zail Singh,,,
1487,1487,Laxminarayan Sahu,"Odisha, India",Literature and Education,Rajendra Prasad,,,,,,
1488,1488,Leander Paes,West Bengal,Sports,K. R. Narayanan,Maharashtra,Sports,Pranab Mukherjee,,,
1489,1489,Leela Joshi,"Madhya Pradesh, India",Medicine,Ram Nath Kovind,,,,,,
1490,1490,Leela Omchery,Delhi/India,Arts,Pratibha Patil,,,,,,
1491,1491,Leela Samson,Delhi/India,Arts,R. Venkataraman,,,,,,
1492,1492,Leela Sumant Moolgaokar,"Maharashtra, India",Social Work,Sarvepalli Radhakrishnan,,,,,,
1493,1493,Leeladhar Jagudi,"Uttarakhand, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
1494,1494,Leonarda Angela Casiraghi,"Karnataka, India",Social Work,K. R. Narayanan,,,,,,
1495,1495,Leslie Claudius,"West Bengal, India",Sports,V. V. Giri,,,,,,
1496,1496,Leslie Denis Swindale,,,,,Science and Engineering,R. Venkataraman,,,
1497,1497,Lia Diskin,,Social Work,Ram Nath Kovind,,,,,,
1498,1498,Lil Bahadur Chettri,"Assam, India",Literature and Education,Ram Nath Kovind,,,,,,
1499,1499,Lila Poonawalla,"Maharashtra, India",Trade and Industry,R. Venkataraman,,,,,,
1500,1500,Lila Ram,"Haryana, India",Sports,K. R. Narayanan,,,,,,
1501,1501,Lila Ramkumar Bhargava,"Uttar Pradesh, India",Social Work,V. V. Giri,,,,,,
1502,1502,Lilian G. Lutter,"Madhya Pradesh, India",Literature and Education,V. V. Giri,,,,,,
1503,1503,Limba Ram,"Rajasthan, India",Sports,Pratibha Patil,,,,,,
1504,1504,Lloyd Rudolph,,,,"Illinois, United States",Literature and Education,Pranab Mukherjee,,,
1505,1505,Lokesh Chandra,,,,Delhi/India,Literature and Education,A. P. J. Abdul Kalam,,,
1506,1506,Lokesh Kumar Singhal,"Haryana, India",Science and Engineering,Pratibha Patil,,,,,,
1507,1507,Lothar Lutze,Germany,Literature and Education,A. P. J. Abdul Kalam,,,,,,
1508,1508,Love Raj Singh Dharmshaktu,Delhi/India,Sports,Pranab Mukherjee,,,,,,
1509,1509,Lucy Oommen,Delhi/India,Medicine,Fakhruddin Ali Ahmed,,,,,,
1510,1510,Luis Jose De Souza,"Maharashtra, India",Medicine,R. Venkataraman,,,,,,
1511,1511,M. A. Muthiah Chettiar,,,,"Tamil Nadu, India",Trade and Industry,V. V. Giri,,,
1512,1512,M. Annamalai,"Karnataka, India",Science and Engineering,Pratibha Patil,,,,,,
1513,1513,M. Aram,"Tamil Nadu, India",Literature and Education,R. Venkataraman,,,,,,
1514,1514,M. B. Ramachandra Rao,,,,Delhi/India,Science and Engineering,V. V. Giri,,,
1515,1515,M. Balamuralikrishna,Tamil Nadu,Arts,V. V. Giri,,,,Tamil Nadu,Arts,R. Venkataraman
1516,1516,M. Boyer,"Goa, India",Arts,A. P. J. Abdul Kalam,,,,,,
1517,1517,M. C. Pant,"Uttar Pradesh, India",Medicine,Pratibha Patil,,,,,,
1518,1518,M. C. Setalvad,,,,,,,"Maharashtra, India",Public Affairs,Rajendra Prasad
1519,1519,M. D. Ramanathan,"Kerala, India",Arts,V. V. Giri,,,,,,
1520,1520,M. D. Valsamma,"Kerala, India",Sports,Zail Singh,,,,,,
1521,1521,M. F. Husain,Delhi,Arts,Sarvepalli Radhakrishnan,Delhi,Arts,V. V. Giri,Maharashtra,Arts,R. Venkataraman
1522,1522,M. G. Deo,"Maharashtra, India",Medicine,R. Venkataraman,,,,,,
1523,1523,M. G. K. Menon,Delhi,Science and Engineering,Rajendra Prasad,Delhi,Medicine,Zakir Husain (politician),Kerala,Civil Service,Zail Singh
1524,1524,M. J. Gopalan,"Tamil Nadu, India",Sports,Sarvepalli Radhakrishnan,,,,,,
1525,1525,M. K. Binodini Devi,"Manipur, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,
1526,1526,M. K. Krishna Menon,"Tamil Nadu, India",Medicine,V. V. Giri,,,,,,
1527,1527,M. K. Narayanan,Delhi/India,Civil Service,R. Venkataraman,,,,,,
1528,1528,M. K. Radha,"Tamil Nadu, India",Arts,V. V. Giri,,,,,,
1529,1529,M. K. Saroja,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,
1530,1530,M. Krishnan Nair,"Kerala, India",Medicine,K. R. Narayanan,,,,,,
1531,1531,M. L. Vasanthakumari,,,,"Andhra Pradesh, India",Arts,Sarvepalli Radhakrishnan,,,
1532,1532,M. Leelavathy,"Kerala, India",Literature and Education,Pratibha Patil,,,,,,
1533,1533,M. M. Joshi,"Karnataka, India",Medicine,Pranab Mukherjee,,,,,,
1534,1534,M. M. S. Ahuja,Delhi/India,Medicine,R. Venkataraman,,,,,,
1535,1535,M. Mahadevappa,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,"Karnataka, India",Science and Engineering,Pranab Mukherjee,,,
1536,1536,M. N. Buch,,,,"Madhya Pradesh, India",Civil Service,Pratibha Patil,,,
1537,1537,M. N. Krishnamani,Delhi/India,Public Affairs,Pranab Mukherjee,,,,,,
1538,1538,M. N. Passey,Delhi/India,Medicine,R. Venkataraman,,,,,,
1539,1539,M. Narasimham,,,,,,,"Andhra Pradesh, India",Trade and Industry,K. R. Narayanan
1540,1540,M. Night Shyamalan,Bahrain,Arts,Pratibha Patil,,,,,,
1541,1541,M. P. Ganesh,"Karnataka, India",Sports,Ram Nath Kovind,,,,,,
1542,1542,M. P. Nachimuthu,"Tamil Nadu, India",Social Work,Zail Singh,,,,,,
1543,1543,M. R. Acharekar,"Maharashtra, India",Arts,Zakir Husain (politician),,,,,,
1544,1544,M. R. Kurup,"Kerala, India",Science and Engineering,R. Venkataraman,,,,,,
1545,1545,M. R. Rajagopal,"Kerala, India",Medicine,Ram Nath Kovind,,,,,,
1546,1546,M. R. S. Rao,"Karnataka, India",Science and Engineering,Pratibha Patil,,,,,,
1547,1547,M. R. Srinivasan,Maharashtra,Science and Engineering,Zail Singh,Maharashtra,Science and Engineering,R. Venkataraman,Tamil Nadu,Science and Engineering,Pranab Mukherjee
1548,1548,M. S. Banga,,,,"Himachal Pradesh, India, India",Trade and Industry,Pratibha Patil,,,
1549,1549,M. S. Gill,,,,,,,Delhi/India,Civil Service,K. R. Narayanan
1550,1550,M. S. Gopalakrishnan,Tamil Nadu,Arts,Fakhruddin Ali Ahmed,Tamil Nadu,Arts,Pratibha Patil,,,
1551,1551,M. S. Krishnan,,,,"Tamil Nadu, India",Science and Engineering,V. V. Giri,,,
1552,1552,M. S. Narasimhan,,,,"Maharashtra, India",Science and Engineering,R. Venkataraman,,,
1553,1553,M. S. Ramakumar,"Maharashtra, India",Science and Engineering,K. R. Narayanan,,,,,,
1554,1554,M. S. Sathyu,"Maharashtra, India",Arts,Fakhruddin Ali Ahmed,,,,,,
1555,1555,M. S. Subbulakshmi,,,,Tamil Nadu,Arts,Rajendra Prasad,Tamil Nadu,Arts,Fakhruddin Ali Ahmed
1556,1556,M. S. Swaminathan,Tamil Nadu,Science and Engineering,Sarvepalli Radhakrishnan,Tamil Nadu,Science and Engineering,V. V. Giri,Tamil Nadu,Science and Engineering,R. Venkataraman
1557,1557,M. S. Valiathan,Kerala,Medicine,Zail Singh,Kerala,Medicine,R. Venkataraman,Delhi,Medicine,A. P. J. Abdul Kalam
1558,1558,M. Sarada Menon,,,,"Tamil Nadu, India",Social Work,R. Venkataraman,,,
1559,1559,M. Subhadra Nair,"Kerala, India",Medicine,Pranab Mukherjee,,,,,,
1560,1560,M. T. Vasudevan Nair,,,,"Kerala, India",Literature and Education,A. P. J. Abdul Kalam,,,
1561,1561,M. V. Mathur,,,,"Rajasthan, India",Science and Engineering,R. Venkataraman,,,
1562,1562,M. V. Padma Srivastava,Delhi/India,Medicine,Pranab Mukherjee,,,,,,
1563,1563,M. V. Pylee,,,,"Kerala, India",Literature and Education,A. P. J. Abdul Kalam,,,
1564,1564,M. V. Rao,"Andhra Pradesh, India",Science and Engineering,K. R. Narayanan,,,,,,
1565,1565,M. V. Subbiah,,,,"Tamil Nadu, India",Trade and Industry,Pratibha Patil,,,
1566,1566,M. Vijayan,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
1567,1567,M. Y. S. Prasad,"Andhra Pradesh, India",Science and Engineering,Pranab Mukherjee,,,,,,
1568,1568,Machani Somappa,"Andhra Pradesh, India",Public Affairs,Rajendra Prasad,,,,,,
1569,1569,Madan Lal Madhu,United Arab Emirates,Literature and Education,R. Venkataraman,,,,,,
1570,1570,Madan Mohan Sabharwal,Delhi/India,Social Work,Pratibha Patil,,,,,,
1571,1571,Madan Singh Chouhan,"Chhattisgarh, India",Arts,Ram Nath Kovind,,,,,,
1572,1572,Madanur Ahmed Ali,"Tamil Nadu, India",Medicine,Pratibha Patil,,,,,,
1573,1573,Madapati Rao,,,,"Andhra Pradesh, India",Social Work,Rajendra Prasad,,,
